Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,100.88,101.66,99.58,101.24,101.24,7200300
2022-04-12,101.04,101.15,99.83,100.49,100.49,5320100
2022-04-13,100.32,101.59,100.32,101.2,101.2,6708300
2022-04-14,101.0,102.04,100.76,101.77,101.77,4368700
2022-04-18,101.49,102.25,100.88,101.05,101.05,7424800
2022-04-19,101.16,102.69,100.67,102.58,102.58,6603900
2022-04-20,102.29,103.88,102.29,103.05,103.05,5796800
2022-04-21,103.37,105.74,101.93,105.06,105.06,5835500
2022-04-22,105.17,105.2,102.59,102.69,102.69,4139900
2022-04-25,101.93,102.7,100.24,102.53,102.53,4580300
2022-04-26,102.56,103.3,102.12,102.77,102.77,4614700
2022-04-27,103.1,103.27,101.61,101.69,101.69,4259400
2022-04-28,102.0,103.12,100.95,102.41,102.41,4399800
2022-04-29,102.62,102.96,99.79,100.0,100.0,4911100
2022-05-02,101.39,101.39,96.49,98.57,98.57,7263500
2022-05-03,98.89,99.57,97.43,98.99,98.99,3839600
2022-05-04,98.69,100.64,98.42,100.56,100.56,3562100
2022-05-05,99.78,101.55,99.14,99.77,99.77,4072600
2022-05-06,98.99,99.63,97.98,98.94,98.94,3384400
2022-05-09,98.47,101.28,97.37,100.82,100.82,2787714
