Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,83.58,85.82,83.02,84.02,83.3,8290400
2022-04-12,83.76,85.98,83.54,83.93,83.22,8057300
2022-04-13,82.93,84.25,82.78,84.13,83.41,8760300
2022-04-14,86.01,87.9,84.59,84.76,84.04,16341500
2022-04-18,84.39,87.18,84.32,86.48,85.74,7897500
2022-04-19,87.01,89.11,86.92,88.91,88.15,12637700
2022-04-20,89.61,91.58,89.61,90.61,89.84,11828400
2022-04-21,91.53,92.93,88.71,88.91,88.15,9563900
2022-04-22,88.12,88.21,84.63,84.74,84.02,11455400
2022-04-25,84.03,85.31,82.89,85.05,84.33,11577600
2022-04-26,84.29,85.22,82.28,82.37,81.67,10062000
2022-04-27,82.38,83.67,81.81,82.21,81.51,9522900
2022-04-28,82.7,83.85,81.61,83.4,83.4,6974600
2022-04-29,83.06,83.74,80.31,80.59,80.59,8093900
2022-05-02,80.59,82.14,80.03,81.96,81.96,8737100
2022-05-03,82.49,84.81,82.25,83.75,83.75,9430500
2022-05-04,84.07,87.53,83.94,87.22,87.22,10495000
2022-05-05,85.75,86.16,83.41,84.94,84.94,8556500
2022-05-06,84.14,84.57,82.31,84.23,84.23,7331700
2022-05-09,82.54,83.24,81.11,82.24,82.24,4345916
