Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,36.7,38.56,36.53,38.21,38.21,14142900
2022-04-12,38.36,38.95,37.77,38.62,38.62,15762600
2022-04-13,40.21,41.1,39.81,41.02,41.02,33528700
2022-04-14,41.97,42.87,41.33,42.36,42.36,29110400
2022-04-18,42.08,43.07,41.85,42.13,42.13,17011900
2022-04-19,42.81,43.77,42.72,43.04,43.04,18453000
2022-04-20,43.28,44.24,43.19,43.54,43.54,17466800
2022-04-21,44.81,46.27,44.54,44.73,44.73,31849600
2022-04-22,45.01,45.35,43.55,43.69,43.69,15557200
2022-04-25,43.4,43.55,42.23,43.27,43.27,15156900
2022-04-26,42.83,43.05,41.55,41.9,41.9,14561200
2022-04-27,42.18,43.44,41.76,43.11,43.11,13640400
2022-04-28,43.51,44.42,42.89,44.33,44.33,11953000
2022-04-29,44.17,44.75,42.82,43.03,43.03,13456300
2022-05-02,42.95,43.4,41.57,42.67,42.67,13417100
2022-05-03,42.64,43.69,42.21,43.35,43.35,10401900
2022-05-04,42.76,43.97,42.34,43.85,43.85,13381200
2022-05-05,43.15,43.74,41.8,42.13,42.13,11983100
2022-05-06,41.97,41.97,40.4,41.0,41.0,12988900
2022-05-09,40.29,40.44,38.88,39.62,39.62,9877263
