Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,45.53,46.89,45.52,46.64,46.27,25593100
2022-04-19,46.6,48.0,46.34,47.93,47.55,31483100
2022-04-20,48.36,48.75,47.98,48.11,47.73,22787100
2022-04-21,48.62,48.9,47.4,47.5,47.13,27316900
2022-04-22,47.45,47.65,46.5,46.54,46.17,28219900
2022-04-25,46.21,47.14,46.18,47.06,46.69,35999300
2022-04-26,46.69,46.84,45.51,45.52,45.16,35356600
2022-04-27,45.48,46.06,45.01,45.22,44.87,28320900
2022-04-28,45.79,47.27,45.54,46.84,46.47,41097000
2022-04-29,44.99,45.36,43.5,43.59,43.25,70726300
2022-05-02,43.72,44.99,43.51,44.96,44.61,45446500
2022-05-03,44.79,45.49,44.23,45.06,44.71,40158400
2022-05-04,45.06,46.64,44.41,46.54,46.17,44625600
2022-05-05,45.6,45.91,44.13,44.6,44.6,52996700
2022-05-06,44.49,45.15,43.84,44.3,44.3,40910000
2022-05-09,43.81,44.2,42.87,43.07,43.07,44925800
2022-05-10,44.35,44.74,43.5,44.01,44.01,42770000
2022-05-11,44.02,44.29,42.78,42.83,42.83,40351700
2022-05-12,42.73,42.91,42.01,42.84,42.84,42329600
2022-05-13,43.42,43.84,42.97,43.6,43.6,32021300
2022-05-16,43.42,43.6,42.78,43.08,43.08,24640172
