Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,53.92,53.95,52.79,52.88,52.88,20992100
2022-04-12,51.7,52.95,51.48,51.82,51.82,25254200
2022-04-13,51.84,52.36,51.41,52.15,52.15,17004600
2022-04-14,52.08,52.38,51.12,51.17,51.17,18004100
2022-04-18,50.88,51.56,50.8,51.11,51.11,13990700
2022-04-19,51.0,51.94,50.92,51.83,51.83,15490900
2022-04-20,52.22,53.67,52.15,53.02,53.02,19526200
2022-04-21,53.34,53.83,52.73,52.78,52.78,17147300
2022-04-22,52.92,52.96,51.29,51.36,51.36,17693000
2022-04-25,51.45,51.98,50.54,51.94,51.94,18677000
2022-04-26,51.88,51.94,50.87,50.9,50.9,19238300
2022-04-27,50.91,51.11,49.25,49.31,49.31,33668600
2022-04-28,49.53,50.78,49.21,50.63,50.63,20170700
2022-04-29,50.51,50.64,48.87,48.98,48.98,20279900
2022-05-02,49.34,49.91,48.93,49.86,49.86,22499200
2022-05-03,49.77,50.36,49.53,49.92,49.92,15828200
2022-05-04,50.03,51.66,49.67,51.58,51.58,23942300
2022-05-05,51.15,51.21,49.16,49.61,49.61,24846500
2022-05-06,49.15,49.84,48.85,49.33,49.33,21739200
2022-05-09,49.0,49.41,48.67,49.13,49.13,7982639
