Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,11.0,11.02,10.64,10.7,10.7,17818700
2022-04-12,10.72,10.8,10.63,10.67,10.67,7330100
2022-04-13,10.71,11.03,10.67,10.99,10.99,11023000
2022-04-14,10.99,11.12,10.94,10.96,10.96,9283500
2022-04-18,10.94,10.98,10.64,10.71,10.71,8772500
2022-04-19,10.72,11.0,10.67,10.92,10.92,8582900
2022-04-20,10.88,11.02,10.74,10.84,10.84,7801200
2022-04-21,10.88,10.99,10.62,10.65,10.65,8632300
2022-04-22,10.68,10.68,10.27,10.28,10.28,9837400
2022-04-25,10.23,10.45,10.02,10.39,10.39,12715000
2022-04-26,10.32,10.5,10.25,10.29,10.29,14309600
2022-04-27,10.32,10.49,10.18,10.36,10.36,9515200
2022-04-28,10.38,10.54,10.26,10.49,10.49,12178300
2022-04-29,10.45,10.61,10.27,10.33,10.33,13224400
2022-05-02,10.35,10.45,10.03,10.21,10.21,13070600
2022-05-03,10.24,10.46,10.12,10.4,10.4,12806700
2022-05-04,10.39,10.53,10.07,10.52,10.52,16615600
2022-05-05,10.45,10.5,9.88,10.05,10.05,17092900
2022-05-06,10.04,10.05,9.76,9.95,9.95,20259700
2022-05-09,10.13,10.94,10.15,10.6,10.6,12249388
