Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,19.43,19.57,19.29,19.46,19.46,54812700
2022-04-19,19.49,19.64,19.39,19.49,19.49,57496000
2022-04-20,19.52,19.59,19.3,19.43,19.43,48751400
2022-04-21,19.68,20.35,19.63,20.21,20.21,81259800
2022-04-22,20.05,20.05,19.5,19.52,19.52,68483600
2022-04-25,19.77,19.89,19.11,19.51,19.51,71861400
2022-04-26,19.45,19.65,19.3,19.3,19.3,50825900
2022-04-27,19.23,19.36,18.99,19.07,19.07,66767000
2022-04-28,19.25,19.59,19.1,19.42,19.42,67479400
2022-04-29,19.36,19.37,18.81,18.86,18.86,70195400
2022-05-02,19.0,19.39,18.86,19.12,19.12,67551600
2022-05-03,19.18,19.68,19.04,19.33,19.33,62675300
2022-05-04,19.28,19.98,19.21,19.95,19.95,60771800
2022-05-05,19.74,19.99,19.68,19.95,19.95,55503900
2022-05-06,19.8,20.11,19.66,20.03,20.03,51489900
2022-05-09,19.98,20.04,19.47,19.55,19.55,51563300
2022-05-10,19.66,19.85,19.24,19.36,19.36,42465900
2022-05-11,19.5,19.66,19.29,19.43,19.43,50074200
2022-05-12,19.4,19.74,19.39,19.72,19.72,52687000
2022-05-13,19.74,19.86,19.54,19.84,19.84,34089300
2022-05-16,19.93,20.38,19.67,20.28,20.28,40016053
