Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,124.24,125.22,122.63,123.32,123.32,4338100
2022-04-19,122.93,124.35,121.08,121.76,121.76,4861600
2022-04-20,123.0,123.38,121.71,122.69,122.69,3273900
2022-04-21,123.02,124.35,118.89,119.49,119.49,3403200
2022-04-22,118.88,120.62,115.97,116.12,116.12,3086400
2022-04-25,112.15,112.95,105.01,111.77,111.77,4813200
2022-04-26,113.21,114.9,111.2,111.59,111.59,2462000
2022-04-27,112.51,113.7,108.36,112.81,112.81,2839800
2022-04-28,113.73,119.19,110.33,117.77,117.77,3312500
2022-04-29,118.46,119.53,115.6,116.76,116.76,4733400
2022-05-02,114.93,117.04,112.1,116.31,116.31,3496000
2022-05-03,116.35,121.38,116.28,120.76,120.76,3326700
2022-05-04,123.16,124.98,120.26,124.77,124.77,3134600
2022-05-05,126.11,126.43,121.77,123.42,123.42,4289400
2022-05-06,125.9,132.35,125.05,132.22,132.22,7041300
2022-05-09,128.95,130.02,116.77,117.94,117.94,6977200
2022-05-10,120.43,125.06,117.68,119.56,119.56,5451400
2022-05-11,120.96,126.19,120.92,121.29,121.29,4167300
2022-05-12,121.64,121.69,117.54,120.51,120.51,4056100
2022-05-13,122.67,126.06,122.4,124.28,124.28,3881600
2022-05-16,124.58,128.49,124.58,126.36,126.36,3558430
