Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,46.24,48.73,44.36,48.45,48.45,153119600
2022-04-19,47.3,48.5,45.0,46.16,46.16,125776000
2022-04-20,46.34,47.11,45.03,46.72,46.72,63360000
2022-04-21,45.51,47.94,45.5,47.08,47.08,70413600
2022-04-22,47.77,49.73,47.49,48.93,48.93,76504500
2022-04-25,51.02,52.29,50.24,51.7,51.7,176803600
2022-04-26,51.57,51.62,49.43,49.68,49.68,115020400
2022-04-27,49.06,49.26,47.82,48.64,48.64,59106900
2022-04-28,49.01,49.92,47.96,49.11,49.11,43816900
2022-04-29,49.45,50.25,48.74,49.02,49.02,38198200
2022-05-02,48.7,49.76,48.57,49.14,49.14,32608100
2022-05-03,49.15,49.48,48.75,48.87,48.87,24773000
2022-05-04,48.8,49.25,48.34,49.06,49.06,28443000
2022-05-05,50.53,51.21,49.81,50.36,50.36,60506900
2022-05-06,49.96,50.29,49.5,49.8,49.8,23403200
2022-05-09,49.3,49.44,47.63,47.96,47.96,37706800
2022-05-10,47.91,48.36,46.5,47.26,47.26,23816700
2022-05-11,46.95,48.15,45.8,46.09,46.09,24815100
2022-05-12,45.01,47.47,43.33,45.08,45.08,37682200
2022-05-13,40.4,42.0,40.01,40.72,40.72,101630700
2022-05-16,39.17,39.29,37.32,37.39,37.39,51221827
